gameid,date,game_num,blue,red,url
LOLTMNT06_110171,2025-04-06 18:48:36,3,Karmine Corp,Fnatic,
LOLTMNT06_110205,2025-04-07 15:07:35,1,GiantX,Rogue,
LOLTMNT06_110211,2025-04-07 16:25:24,2,Rogue,GiantX,
LOLTMNT06_111217,2025-04-07 17:19:50,1,Movistar KOI,Team Heretics,
LOLTMNT06_110226,2025-04-07 18:11:29,2,Team Heretics,Movistar KOI,
LOLTMNT06_111761,2025-04-12 12:07:45,1,Team Heretics,Team BDS,
LOLTMNT06_110675,2025-04-12 13:09:59,2,Team BDS,Team Heretics,
LOLTMNT06_111766,2025-04-12 14:01:50,3,Team Heretics,Team BDS,
LOLTMNT06_111775,2025-04-12 14:58:26,1,Rogue,G2 Esports,
LOLTMNT06_111817,2025-04-12 15:52:38,2,G2 Esports,Rogue,
LOLTMNT06_110736,2025-04-12 16:52:56,1,Karmine Corp,SK Gaming,
LOLTMNT06_111842,2025-04-12 17:38:38,2,SK Gaming,Karmine Corp,
LOLTMNT06_112003,2025-04-13 15:08:26,1,Team Vitality,Fnatic,
LOLTMNT06_110936,2025-04-13 16:09:02,2,Fnatic,Team Vitality,
LOLTMNT06_110946,2025-04-13 17:00:20,1,Team BDS,Movistar KOI,
LOLTMNT06_112050,2025-04-13 17:50:05,2,Movistar KOI,Team BDS,
LOLTMNT06_110999,2025-04-14 15:07:08,1,GiantX,SK Gaming,
LOLTMNT06_112069,2025-04-14 16:04:09,2,GiantX,SK Gaming,
LOLTMNT06_112073,2025-04-14 17:04:51,1,Team Heretics,Karmine Corp,
LOLTMNT06_112088,2025-04-14 18:10:43,2,Karmine Corp,Team Heretics,
LOLTMNT06_113014,2025-04-14 19:11:08,3,Team Heretics,Karmine Corp,
LOLTMNT04_107072,2025-04-19 15:08:43,1,Fnatic,Rogue,
LOLTMNT04_107075,2025-04-19 15:57:46,2,Rogue,Fnatic,
LOLTMNT04_106064,2025-04-19 16:47:35,1,Karmine Corp,GiantX,
LOLTMNT04_106078,2025-04-19 17:40:46,2,GiantX,Karmine Corp,
LOLTMNT04_107091,2025-04-19 18:45:01,3,Karmine Corp,GiantX,
LOLTMNT04_107126,2025-04-20 15:08:03,1,Team Heretics,Team Vitality,
LOLTMNT04_107128,2025-04-20 16:07:56,2,Team Vitality,Team Heretics,
LOLTMNT04_106127,2025-04-20 17:13:18,1,Team BDS,G2 Esports,
LOLTMNT04_107139,2025-04-20 18:14:19,2,G2 Esports,Team BDS,
LOLTMNT04_106164,2025-04-21 15:08:19,1,SK Gaming,Rogue,
LOLTMNT04_106166,2025-04-21 16:08:11,2,Rogue,SK Gaming,
LOLTMNT04_106169,2025-04-21 17:01:56,3,SK Gaming,Rogue,
LOLTMNT04_106173,2025-04-21 17:55:01,1,Team Vitality,Movistar KOI,
LOLTMNT04_107177,2025-04-21 18:47:43,2,Movistar KOI,Team Vitality,
LOLTMNT04_108350,2025-04-26 13:32:18,1,GiantX,G2 Esports,
LOLTMNT04_106786,2025-04-26 14:28:40,2,GiantX,G2 Esports,
LOLTMNT04_108362,2025-04-26 15:20:43,3,GiantX,G2 Esports,
LOLTMNT04_106797,2025-04-26 16:51:50,1,Movistar KOI,Fnatic,
LOLTMNT04_108377,2025-04-26 17:50:12,2,Movistar KOI,Fnatic,
LOLTMNT04_106812,2025-04-26 18:41:09,3,Movistar KOI,Fnatic,
LOLTMNT04_106845,2025-04-27 13:19:45,1,G2 Esports,Fnatic,
LOLTMNT04_108428,2025-04-27 14:15:31,2,Fnatic,G2 Esports,
LOLTMNT04_106860,2025-04-27 15:11:18,3,G2 Esports,Fnatic,
LOLTMNT04_106881,2025-04-27 16:42:44,1,Movistar KOI,GiantX,
LOLTMNT04_108453,2025-04-27 17:49:02,2,GiantX,Movistar KOI,
LOLTMNT04_106898,2025-04-27 18:40:48,3,Movistar KOI,GiantX,
LOLTMNT04_108493,2025-04-28 15:08:13,1,SK Gaming,Team Heretics,
LOLTMNT04_106945,2025-04-28 16:10:12,2,Team Heretics,SK Gaming,
LOLTMNT04_108498,2025-04-28 17:09:03,1,Team Vitality,Team BDS,
LOLTMNT04_106968,2025-04-28 18:06:44,2,Team Vitality,Team BDS,
