oracle_gameid,esports_game_id,tournament,date,start_time,blue,red,game_num
LOLTMNT05_116059,113476054450624511,lec_winter_2025,2025-03-02 18:09:35,2025-03-02T17:00:00Z,G2 Esports,Karmine Corp,2
LOLTMNT05_115078,113476054450624512,lec_winter_2025,2025-03-02 19:02:17,2025-03-02T17:00:00Z,Karmine Corp,G2 Esports,3
LOLTMNT05_122323,113487475359325310,lec_spring_2025,2025-03-29 13:16:11,2025-03-29T13:00:00Z,Fnatic,GiantX,1
LOLTMNT05_122326,113487475359325311,lec_spring_2025,2025-03-29 14:03:24,2025-03-29T13:00:00Z,GiantX,Fnatic,2
LOLTMNT05_122336,113487475359259646,lec_spring_2025,2025-03-29 15:31:53,2025-03-29T15:00:00Z,Rogue,Team Heretics,1
LOLTMNT05_121339,113487475359259647,lec_spring_2025,2025-03-29 16:28:08,2025-03-29T15:00:00Z,Rogue,Team Heretics,2
LOLTMNT05_122345,113487475359325346,lec_spring_2025,2025-03-29 17:19:38,2025-03-29T17:00:00Z,G2 Esports,Movistar KOI,1
LOLTMNT05_122355,113487475359325347,lec_spring_2025,2025-03-29 18:06:59,2025-03-29T17:00:00Z,Movistar KOI,G2 Esports,2
LOLTMNT05_121353,113487475359325348,lec_spring_2025,2025-03-29 19:26:02,2025-03-29T17:00:00Z,Movistar KOI,G2 Esports,3
LOLTMNT05_122377,113487475359325254,lec_spring_2025,2025-03-30 15:08:17,2025-03-30T15:00:00Z,GiantX,Team Vitality,1
LOLTMNT05_121383,113487475359325255,lec_spring_2025,2025-03-30 16:01:34,2025-03-30T15:00:00Z,GiantX,Team Vitality,2
LOLTMNT05_122381,113487475359325342,lec_spring_2025,2025-03-30 16:54:21,2025-03-30T17:00:00Z,Karmine Corp,Movistar KOI,1
LOLTMNT05_122391,113487475359325343,lec_spring_2025,2025-03-30 17:44:33,2025-03-30T17:00:00Z,Movistar KOI,Karmine Corp,2
LOLTMNT05_122399,113487475359325344,lec_spring_2025,2025-03-30 18:41:35,2025-03-30T17:00:00Z,Karmine Corp,Movistar KOI,3
LOLTMNT05_122430,113487475359259686,lec_spring_2025,2025-03-31 15:08:49,2025-03-31T15:00:00Z,Team BDS,Rogue,1
LOLTMNT05_122431,113487475359259687,lec_spring_2025,2025-03-31 16:07:14,2025-03-31T15:00:00Z,Rogue,Team BDS,2
LOLTMNT05_121435,113487475359259688,lec_spring_2025,2025-03-31 17:02:42,2025-03-31T15:00:00Z,Team BDS,Rogue,3
LOLTMNT05_121441,113487475359325326,lec_spring_2025,2025-03-31 18:03:10,2025-03-31T17:00:00Z,SK Gaming,Fnatic,1
LOLTMNT05_121453,113487475359325327,lec_spring_2025,2025-03-31 18:52:10,2025-03-31T17:00:00Z,Fnatic,SK Gaming,2
LOLTMNT06_111070,113487475359259682,lec_spring_2025,2025-04-05 12:07:02,2025-04-05T12:00:00Z,Rogue,Team Vitality,1
LOLTMNT06_111072,113487475359259683,lec_spring_2025,2025-04-05 13:09:58,2025-04-05T12:00:00Z,Rogue,Team Vitality,2
LOLTMNT06_110083,113487475359325294,lec_spring_2025,2025-04-05 14:08:19,2025-04-05T14:00:00Z,Team BDS,Karmine Corp,1
LOLTMNT06_111090,113487475359325295,lec_spring_2025,2025-04-05 15:01:22,2025-04-05T14:00:00Z,Karmine Corp,Team BDS,2
LOLTMNT06_111097,113487475359259678,lec_spring_2025,2025-04-05 16:02:04,2025-04-05T16:00:00Z,G2 Esports,Team Heretics,1
LOLTMNT06_110120,113487475359259679,lec_spring_2025,2025-04-05 16:57:34,2025-04-05T16:00:00Z,Team Heretics,G2 Esports,2
LOLTMNT06_110153,113487475359325282,lec_spring_2025,2025-04-06 15:08:21,2025-04-06T15:00:00Z,Team BDS,SK Gaming,1
LOLTMNT06_111152,113487475359325283,lec_spring_2025,2025-04-06 16:01:55,2025-04-06T15:00:00Z,Team BDS,SK Gaming,2
LOLTMNT06_111156,113487475359325350,lec_spring_2025,2025-04-06 16:56:07,2025-04-06T17:00:00Z,Karmine Corp,Fnatic,1
LOLTMNT06_110166,113487475359325351,lec_spring_2025,2025-04-06 17:50:46,2025-04-06T17:00:00Z,Fnatic,Karmine Corp,2
LOLTMNT06_110171,113487475359325352,lec_spring_2025,2025-04-06 18:48:36,2025-04-06T17:00:00Z,Karmine Corp,Fnatic,3
LOLTMNT06_110205,113487475359259690,lec_spring_2025,2025-04-07 15:07:35,2025-04-07T15:00:00Z,GiantX,Rogue,1
LOLTMNT06_110211,113487475359259691,lec_spring_2025,2025-04-07 16:25:24,2025-04-07T15:00:00Z,Rogue,GiantX,2
LOLTMNT06_111217,113487475359259666,lec_spring_2025,2025-04-07 17:19:50,2025-04-07T17:00:00Z,Movistar KOI,Team Heretics,1
LOLTMNT06_110226,113487475359259667,lec_spring_2025,2025-04-07 18:11:29,2025-04-07T17:00:00Z,Team Heretics,Movistar KOI,2
LOLTMNT06_111761,113487475359259654,lec_spring_2025,2025-04-12 12:07:45,2025-04-12T12:00:00Z,Team Heretics,Team BDS,1
LOLTMNT06_110675,113487475359259655,lec_spring_2025,2025-04-12 13:09:59,2025-04-12T12:00:00Z,Team BDS,Team Heretics,2
LOLTMNT06_111766,113487475359259656,lec_spring_2025,2025-04-12 14:01:50,2025-04-12T12:00:00Z,Team Heretics,Team BDS,3
LOLTMNT06_111775,113487475359325246,lec_spring_2025,2025-04-12 14:58:26,2025-04-12T14:00:00Z,Rogue,G2 Esports,1
LOLTMNT06_111817,113487475359325247,lec_spring_2025,2025-04-12 15:52:38,2025-04-12T14:00:00Z,G2 Esports,Rogue,2
LOLTMNT06_110736,113487475359325330,lec_spring_2025,2025-04-12 16:52:56,2025-04-12T16:00:00Z,Karmine Corp,SK Gaming,1
LOLTMNT06_111842,113487475359325331,lec_spring_2025,2025-04-12 17:38:38,2025-04-12T16:00:00Z,SK Gaming,Karmine Corp,2
LOLTMNT06_112003,113487475359325266,lec_spring_2025,2025-04-13 15:08:26,2025-04-13T15:00:00Z,Team Vitality,Fnatic,1
LOLTMNT06_110936,113487475359325267,lec_spring_2025,2025-04-13 16:09:02,2025-04-13T15:00:00Z,Fnatic,Team Vitality,2
LOLTMNT06_110946,113487475359325286,lec_spring_2025,2025-04-13 17:00:20,2025-04-13T17:00:00Z,Team BDS,Movistar KOI,1
LOLTMNT06_112050,113487475359325287,lec_spring_2025,2025-04-13 17:50:05,2025-04-13T17:00:00Z,Movistar KOI,Team BDS,2
LOLTMNT06_110999,113487475359325302,lec_spring_2025,2025-04-14 15:07:08,2025-04-14T15:00:00Z,GiantX,SK Gaming,1
LOLTMNT06_112069,113487475359325303,lec_spring_2025,2025-04-14 16:04:09,2025-04-14T15:00:00Z,GiantX,SK Gaming,2
LOLTMNT06_112073,113487475359259674,lec_spring_2025,2025-04-14 17:04:51,2025-04-14T17:00:00Z,Team Heretics,Karmine Corp,1
LOLTMNT06_112088,113487475359259675,lec_spring_2025,2025-04-14 18:10:43,2025-04-14T17:00:00Z,Karmine Corp,Team Heretics,2
LOLTMNT06_113014,113487475359259676,lec_spring_2025,2025-04-14 19:11:08,2025-04-14T17:00:00Z,Team Heretics,Karmine Corp,3
LOLTMNT04_107072,113487475359325238,lec_spring_2025,2025-04-19 15:08:43,2025-04-19T15:00:00Z,Fnatic,Rogue,1
LOLTMNT04_107075,113487475359325239,lec_spring_2025,2025-04-19 15:57:46,2025-04-19T15:00:00Z,Rogue,Fnatic,2
LOLTMNT04_106064,113487475359325314,lec_spring_2025,2025-04-19 16:47:35,2025-04-19T17:00:00Z,Karmine Corp,GiantX,1
LOLTMNT04_106078,113487475359325315,lec_spring_2025,2025-04-19 17:40:46,2025-04-19T17:00:00Z,GiantX,Karmine Corp,2
LOLTMNT04_107091,113487475359325316,lec_spring_2025,2025-04-19 18:45:01,2025-04-19T17:00:00Z,Karmine Corp,GiantX,3
LOLTMNT04_107126,113487475359259650,lec_spring_2025,2025-04-20 15:08:03,2025-04-20T15:00:00Z,Team Heretics,Team Vitality,1
LOLTMNT04_107128,113487475359259651,lec_spring_2025,2025-04-20 16:07:56,2025-04-20T15:00:00Z,Team Vitality,Team Heretics,2
LOLTMNT04_106127,113487475359325298,lec_spring_2025,2025-04-20 17:13:18,2025-04-20T17:00:00Z,Team BDS,G2 Esports,1
LOLTMNT04_107139,113487475359325299,lec_spring_2025,2025-04-20 18:14:19,2025-04-20T17:00:00Z,G2 Esports,Team BDS,2
LOLTMNT04_106164,113487475359325230,lec_spring_2025,2025-04-21 15:08:19,2025-04-21T15:00:00Z,SK Gaming,Rogue,1
LOLTMNT04_106166,113487475359325231,lec_spring_2025,2025-04-21 16:08:11,2025-04-21T15:00:00Z,Rogue,SK Gaming,2
LOLTMNT04_106169,113487475359325232,lec_spring_2025,2025-04-21 17:01:56,2025-04-21T15:00:00Z,SK Gaming,Rogue,3
LOLTMNT04_106173,113487475359325262,lec_spring_2025,2025-04-21 17:55:01,2025-04-21T17:00:00Z,Team Vitality,Movistar KOI,1
LOLTMNT04_107177,113487475359325263,lec_spring_2025,2025-04-21 18:47:43,2025-04-21T17:00:00Z,Movistar KOI,Team Vitality,2
LOLTMNT04_108350,113487475359325318,lec_spring_2025,2025-04-26 13:32:18,2025-04-26T13:00:00Z,GiantX,G2 Esports,1
LOLTMNT04_106786,113487475359325319,lec_spring_2025,2025-04-26 14:28:40,2025-04-26T13:00:00Z,GiantX,G2 Esports,2
LOLTMNT04_108362,113487475359325320,lec_spring_2025,2025-04-26 15:20:43,2025-04-26T13:00:00Z,GiantX,G2 Esports,3
LOLTMNT04_106797,113487475359325338,lec_spring_2025,2025-04-26 16:51:50,2025-04-26T15:00:00Z,Movistar KOI,Fnatic,1
LOLTMNT04_108377,113487475359325339,lec_spring_2025,2025-04-26 17:50:12,2025-04-26T15:00:00Z,Movistar KOI,Fnatic,2
LOLTMNT04_106812,113487475359325340,lec_spring_2025,2025-04-26 18:41:09,2025-04-26T15:00:00Z,Movistar KOI,Fnatic,3
LOLTMNT04_106845,113487475359325354,lec_spring_2025,2025-04-27 13:19:45,2025-04-27T13:00:00Z,G2 Esports,Fnatic,1
LOLTMNT04_108428,113487475359325355,lec_spring_2025,2025-04-27 14:15:31,2025-04-27T13:00:00Z,Fnatic,G2 Esports,2
LOLTMNT04_106860,113487475359325356,lec_spring_2025,2025-04-27 15:11:18,2025-04-27T13:00:00Z,G2 Esports,Fnatic,3
LOLTMNT04_106881,113487475359325306,lec_spring_2025,2025-04-27 16:42:44,2025-04-27T15:00:00Z,Movistar KOI,GiantX,1
LOLTMNT04_108453,113487475359325307,lec_spring_2025,2025-04-27 17:49:02,2025-04-27T15:00:00Z,GiantX,Movistar KOI,2
LOLTMNT04_106898,113487475359325308,lec_spring_2025,2025-04-27 18:40:48,2025-04-27T15:00:00Z,Movistar KOI,GiantX,3
LOLTMNT04_108493,113487475359259662,lec_spring_2025,2025-04-28 15:08:13,2025-04-28T15:00:00Z,SK Gaming,Team Heretics,1
LOLTMNT04_106945,113487475359259663,lec_spring_2025,2025-04-28 16:10:12,2025-04-28T15:00:00Z,Team Heretics,SK Gaming,2
LOLTMNT04_108498,113487475359325250,lec_spring_2025,2025-04-28 17:09:03,2025-04-28T17:00:00Z,Team Vitality,Team BDS,1
LOLTMNT04_106968,113487475359325251,lec_spring_2025,2025-04-28 18:06:44,2025-04-28T17:00:00Z,Team Vitality,Team BDS,2
LOLTMNT04_106978,113487475359325252,lec_spring_2025,2025-04-28 19:02:43,2025-04-28T17:00:00Z,Team Vitality,Team BDS,3
LOLTMNT05_130051,113487475359325290,lec_spring_2025,2025-05-03 15:09:16,2025-05-03T15:00:00Z,Fnatic,Team BDS,1
LOLTMNT05_130052,113487475359325291,lec_spring_2025,2025-05-03 16:14:25,2025-05-03T15:00:00Z,Fnatic,Team BDS,2
LOLTMNT05_130053,113487475359325242,lec_spring_2025,2025-05-03 17:11:00,2025-05-03T17:00:00Z,Karmine Corp,Rogue,1
LOLTMNT05_130060,113487475359325243,lec_spring_2025,2025-05-03 18:03:58,2025-05-03T17:00:00Z,Karmine Corp,Rogue,2
LOLTMNT05_130075,113487475359325278,lec_spring_2025,2025-05-04 15:08:14,2025-05-04T15:00:00Z,GiantX,Team BDS,1
LOLTMNT05_130076,113487475359325279,lec_spring_2025,2025-05-04 16:13:46,2025-05-04T15:00:00Z,GiantX,Team BDS,2
LOLTMNT05_131093,113487475359325274,lec_spring_2025,2025-05-04 17:09:16,2025-05-04T17:00:00Z,G2 Esports,Team Vitality,1
LOLTMNT05_130088,113487475359325275,lec_spring_2025,2025-05-04 17:56:46,2025-05-04T17:00:00Z,G2 Esports,Team Vitality,2
LOLTMNT05_131176,113487475359259670,lec_spring_2025,2025-05-05 15:07:50,2025-05-05T15:00:00Z,Fnatic,Team Heretics,1
LOLTMNT05_131180,113487475359259671,lec_spring_2025,2025-05-05 15:57:04,2025-05-05T15:00:00Z,Team Heretics,Fnatic,2
LOLTMNT05_131182,113487475359325322,lec_spring_2025,2025-05-05 16:44:05,2025-05-05T17:00:00Z,Movistar KOI,SK Gaming,1
LOLTMNT05_130177,113487475359325323,lec_spring_2025,2025-05-05 17:33:32,2025-05-05T17:00:00Z,SK Gaming,Movistar KOI,2
LOLTMNT05_130653,113487475359325334,lec_spring_2025,2025-05-10 15:17:02,2025-05-10T15:00:00Z,SK Gaming,G2 Esports,1
LOLTMNT05_130654,113487475359325335,lec_spring_2025,2025-05-10 16:08:33,2025-05-10T15:00:00Z,G2 Esports,SK Gaming,2
LOLTMNT05_131696,113487475359325270,lec_spring_2025,2025-05-10 18:24:32,2025-05-10T17:00:00Z,Team Vitality,Karmine Corp,1
