tournament,startTime,match_id,esports_game_id,game_num,team_a_code,team_a_name,team_b_code,team_b_name,state,has_vods
lec_summer_2025,2025-08-26T17:00:00Z,113487543463874888,113487543463874891,3,NAVI,Natus Vincere,GX,GIANTX,,0
lec_summer_2025,2025-09-05T15:00:00Z,113487569888189671,113487569888189672,1,TH,Team Heretics,VIT,Team Vitality,,1
lec_summer_2025,2025-09-05T15:00:00Z,113487569888189671,113487569888189673,2,TH,Team Heretics,VIT,Team Vitality,,1
lec_summer_2025,2025-09-05T15:00:00Z,113487569888189671,113487569888189674,3,TH,Team Heretics,VIT,Team Vitality,,1
lec_summer_2025,2025-09-05T15:00:00Z,113487569888189671,114914218255748361,4,TH,Team Heretics,VIT,Team Vitality,,1
lec_summer_2025,2025-09-05T15:00:00Z,113487569888189671,114914218255748362,5,TH,Team Heretics,VIT,Team Vitality,,0
lec_summer_2025,2025-09-06T15:00:00Z,113487569888189667,113487569888189668,1,GX,GIANTX,SHFT,Shifters,,1
lec_summer_2025,2025-09-06T15:00:00Z,113487569888189667,113487569888189669,2,GX,GIANTX,SHFT,Shifters,,1
lec_summer_2025,2025-09-06T15:00:00Z,113487569888189667,113487569888189670,3,GX,GIANTX,SHFT,Shifters,,1
lec_summer_2025,2025-09-06T15:00:00Z,113487569888189667,114914218255748359,4,GX,GIANTX,SHFT,Shifters,,0
lec_summer_2025,2025-09-06T15:00:00Z,113487569888189667,114914218255748360,5,GX,GIANTX,SHFT,Shifters,,0
lec_summer_2025,2025-09-07T15:00:00Z,113487569888189681,113487569888189682,1,KC,Karmine Corp,G2,G2 Esports,,1
lec_summer_2025,2025-09-07T15:00:00Z,113487569888189681,113487569888189683,2,KC,Karmine Corp,G2,G2 Esports,,1
lec_summer_2025,2025-09-07T15:00:00Z,113487569888189681,113487569888189684,3,KC,Karmine Corp,G2,G2 Esports,,1
lec_summer_2025,2025-09-07T15:00:00Z,113487569888189681,113487569888189685,4,KC,Karmine Corp,G2,G2 Esports,,1
lec_summer_2025,2025-09-07T15:00:00Z,113487569888189681,113487569888189686,5,KC,Karmine Corp,G2,G2 Esports,,0
lec_summer_2025,2025-09-08T15:00:00Z,113487569888189675,113487569888189676,1,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_summer_2025,2025-09-08T15:00:00Z,113487569888189675,113487569888189677,2,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_summer_2025,2025-09-08T15:00:00Z,113487569888189675,113487569888189678,3,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_summer_2025,2025-09-08T15:00:00Z,113487569888189675,113487569888189679,4,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_summer_2025,2025-09-08T15:00:00Z,113487569888189675,113487569888189680,5,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_summer_2025,2025-09-13T15:00:00Z,113487569888189699,113487569888189700,1,KC,Karmine Corp,VIT,Team Vitality,,1
lec_summer_2025,2025-09-13T15:00:00Z,113487569888189699,113487569888189701,2,KC,Karmine Corp,VIT,Team Vitality,,1
lec_summer_2025,2025-09-13T15:00:00Z,113487569888189699,113487569888189702,3,KC,Karmine Corp,VIT,Team Vitality,,1
lec_summer_2025,2025-09-13T15:00:00Z,113487569888189699,113487569888189703,4,KC,Karmine Corp,VIT,Team Vitality,,1
lec_summer_2025,2025-09-13T15:00:00Z,113487569888189699,113487569888189704,5,KC,Karmine Corp,VIT,Team Vitality,,0
lec_summer_2025,2025-09-14T15:00:00Z,113487569888189687,113487569888189688,1,MKOI,Movistar KOI,G2,G2 Esports,,1
lec_summer_2025,2025-09-14T15:00:00Z,113487569888189687,113487569888189689,2,MKOI,Movistar KOI,G2,G2 Esports,,1
lec_summer_2025,2025-09-14T15:00:00Z,113487569888189687,113487569888189690,3,MKOI,Movistar KOI,G2,G2 Esports,,1
lec_summer_2025,2025-09-14T15:00:00Z,113487569888189687,113487569888189691,4,MKOI,Movistar KOI,G2,G2 Esports,,1
lec_summer_2025,2025-09-14T15:00:00Z,113487569888189687,113487569888189692,5,MKOI,Movistar KOI,G2,G2 Esports,,0
lec_summer_2025,2025-09-15T15:00:00Z,113487569888189693,113487569888189694,1,FNC,Fnatic,GX,GIANTX,,1
lec_summer_2025,2025-09-15T15:00:00Z,113487569888189693,113487569888189695,2,FNC,Fnatic,GX,GIANTX,,1
lec_summer_2025,2025-09-15T15:00:00Z,113487569888189693,113487569888189696,3,FNC,Fnatic,GX,GIANTX,,1
lec_summer_2025,2025-09-15T15:00:00Z,113487569888189693,113487569888189697,4,FNC,Fnatic,GX,GIANTX,,0
lec_summer_2025,2025-09-15T15:00:00Z,113487569888189693,113487569888189698,5,FNC,Fnatic,GX,GIANTX,,0
lec_summer_2025,2025-09-26T15:00:00Z,113487569888189705,113487569888255242,1,KC,Karmine Corp,FNC,Fnatic,,1
lec_summer_2025,2025-09-26T15:00:00Z,113487569888189705,113487569888255243,2,KC,Karmine Corp,FNC,Fnatic,,1
lec_summer_2025,2025-09-26T15:00:00Z,113487569888189705,113487569888255244,3,KC,Karmine Corp,FNC,Fnatic,,1
lec_summer_2025,2025-09-26T15:00:00Z,113487569888189705,113487569888255245,4,KC,Karmine Corp,FNC,Fnatic,,1
lec_summer_2025,2025-09-26T15:00:00Z,113487569888189705,113487569888255246,5,KC,Karmine Corp,FNC,Fnatic,,0
lec_summer_2025,2025-09-27T15:00:00Z,113487569888255247,113487569888255248,1,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_summer_2025,2025-09-27T15:00:00Z,113487569888255247,113487569888255249,2,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_summer_2025,2025-09-27T15:00:00Z,113487569888255247,113487569888255250,3,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_summer_2025,2025-09-27T15:00:00Z,113487569888255247,113487569888255251,4,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_summer_2025,2025-09-27T15:00:00Z,113487569888255247,113487569888255252,5,MKOI,Movistar KOI,FNC,Fnatic,,0
lec_summer_2025,2025-09-28T15:00:00Z,113487569888255253,113487569888255254,1,MKOI,Movistar KOI,G2,G2 Esports,,1
lec_summer_2025,2025-09-28T15:00:00Z,113487569888255253,113487569888255255,2,MKOI,Movistar KOI,G2,G2 Esports,,1
lec_summer_2025,2025-09-28T15:00:00Z,113487569888255253,113487569888255256,3,MKOI,Movistar KOI,G2,G2 Esports,,1
lec_summer_2025,2025-09-28T15:00:00Z,113487569888255253,113487569888255257,4,MKOI,Movistar KOI,G2,G2 Esports,,0
lec_summer_2025,2025-09-28T15:00:00Z,113487569888255253,113487569888255258,5,MKOI,Movistar KOI,G2,G2 Esports,,0
lec_spring_2025,2025-03-29T13:00:00Z,113487475359325309,113487475359325310,1,FNC,Fnatic,GX,GIANTX,,1
lec_spring_2025,2025-03-29T13:00:00Z,113487475359325309,113487475359325311,2,FNC,Fnatic,GX,GIANTX,,1
lec_spring_2025,2025-03-29T13:00:00Z,113487475359325309,113487475359325312,3,FNC,Fnatic,GX,GIANTX,,0
lec_spring_2025,2025-03-29T15:00:00Z,113487475359259645,113487475359259646,1,RGE,Rogue,TH,Team Heretics,,1
lec_spring_2025,2025-03-29T15:00:00Z,113487475359259645,113487475359259647,2,RGE,Rogue,TH,Team Heretics,,1
lec_spring_2025,2025-03-29T15:00:00Z,113487475359259645,113487475359259648,3,RGE,Rogue,TH,Team Heretics,,0
lec_spring_2025,2025-03-29T17:00:00Z,113487475359325345,113487475359325346,1,G2,G2 Esports,MKOI,Movistar KOI,,1
lec_spring_2025,2025-03-29T17:00:00Z,113487475359325345,113487475359325347,2,G2,G2 Esports,MKOI,Movistar KOI,,1
lec_spring_2025,2025-03-29T17:00:00Z,113487475359325345,113487475359325348,3,G2,G2 Esports,MKOI,Movistar KOI,,1
lec_spring_2025,2025-03-30T15:00:00Z,113487475359325253,113487475359325254,1,GX,GIANTX,VIT,Team Vitality,,1
lec_spring_2025,2025-03-30T15:00:00Z,113487475359325253,113487475359325255,2,GX,GIANTX,VIT,Team Vitality,,1
lec_spring_2025,2025-03-30T15:00:00Z,113487475359325253,113487475359325256,3,GX,GIANTX,VIT,Team Vitality,,0
lec_spring_2025,2025-03-30T17:00:00Z,113487475359325341,113487475359325342,1,KC,Karmine Corp,MKOI,Movistar KOI,,1
lec_spring_2025,2025-03-30T17:00:00Z,113487475359325341,113487475359325343,2,KC,Karmine Corp,MKOI,Movistar KOI,,1
lec_spring_2025,2025-03-30T17:00:00Z,113487475359325341,113487475359325344,3,KC,Karmine Corp,MKOI,Movistar KOI,,1
lec_spring_2025,2025-03-31T15:00:00Z,113487475359259685,113487475359259686,1,SHFT,Shifters,RGE,Rogue,,1
lec_spring_2025,2025-03-31T15:00:00Z,113487475359259685,113487475359259687,2,SHFT,Shifters,RGE,Rogue,,1
lec_spring_2025,2025-03-31T15:00:00Z,113487475359259685,113487475359259688,3,SHFT,Shifters,RGE,Rogue,,1
lec_spring_2025,2025-03-31T17:00:00Z,113487475359325325,113487475359325326,1,SK,SK Gaming,FNC,Fnatic,,1
lec_spring_2025,2025-03-31T17:00:00Z,113487475359325325,113487475359325327,2,SK,SK Gaming,FNC,Fnatic,,1
lec_spring_2025,2025-03-31T17:00:00Z,113487475359325325,113487475359325328,3,SK,SK Gaming,FNC,Fnatic,,0
lec_spring_2025,2025-04-05T12:00:00Z,113487475359259681,113487475359259682,1,RGE,Rogue,VIT,Team Vitality,,1
lec_spring_2025,2025-04-05T12:00:00Z,113487475359259681,113487475359259683,2,RGE,Rogue,VIT,Team Vitality,,1
lec_spring_2025,2025-04-05T12:00:00Z,113487475359259681,113487475359259684,3,RGE,Rogue,VIT,Team Vitality,,0
lec_spring_2025,2025-04-05T14:00:00Z,113487475359325293,113487475359325294,1,SHFT,Shifters,KC,Karmine Corp,,1
lec_spring_2025,2025-04-05T14:00:00Z,113487475359325293,113487475359325295,2,SHFT,Shifters,KC,Karmine Corp,,1
lec_spring_2025,2025-04-05T14:00:00Z,113487475359325293,113487475359325296,3,SHFT,Shifters,KC,Karmine Corp,,0
lec_spring_2025,2025-04-05T16:00:00Z,113487475359259677,113487475359259678,1,G2,G2 Esports,TH,Team Heretics,,1
lec_spring_2025,2025-04-05T16:00:00Z,113487475359259677,113487475359259679,2,G2,G2 Esports,TH,Team Heretics,,1
lec_spring_2025,2025-04-05T16:00:00Z,113487475359259677,113487475359259680,3,G2,G2 Esports,TH,Team Heretics,,0
lec_spring_2025,2025-04-06T15:00:00Z,113487475359325281,113487475359325282,1,SHFT,Shifters,SK,SK Gaming,,1
lec_spring_2025,2025-04-06T15:00:00Z,113487475359325281,113487475359325283,2,SHFT,Shifters,SK,SK Gaming,,1
lec_spring_2025,2025-04-06T15:00:00Z,113487475359325281,113487475359325284,3,SHFT,Shifters,SK,SK Gaming,,0
lec_spring_2025,2025-04-06T17:00:00Z,113487475359325349,113487475359325350,1,KC,Karmine Corp,FNC,Fnatic,,1
lec_spring_2025,2025-04-06T17:00:00Z,113487475359325349,113487475359325351,2,KC,Karmine Corp,FNC,Fnatic,,1
lec_spring_2025,2025-04-06T17:00:00Z,113487475359325349,113487475359325352,3,KC,Karmine Corp,FNC,Fnatic,,1
lec_spring_2025,2025-04-07T15:00:00Z,113487475359259689,113487475359259690,1,GX,GIANTX,RGE,Rogue,,1
lec_spring_2025,2025-04-07T15:00:00Z,113487475359259689,113487475359259691,2,GX,GIANTX,RGE,Rogue,,1
lec_spring_2025,2025-04-07T15:00:00Z,113487475359259689,113487475359259692,3,GX,GIANTX,RGE,Rogue,,0
lec_spring_2025,2025-04-07T17:00:00Z,113487475359259665,113487475359259666,1,MKOI,Movistar KOI,TH,Team Heretics,,1
lec_spring_2025,2025-04-07T17:00:00Z,113487475359259665,113487475359259667,2,MKOI,Movistar KOI,TH,Team Heretics,,1
