gameid,date,game_num,blue,red,url
LOLTMNT01_229352,2025-04-23 09:09:16,2,DRX,KT Rolster,
LOLTMNT01_228803,2025-04-23 10:22:22,1,Nongshim RedForce,BNK FEARX,
LOLTMNT01_228821,2025-04-23 11:15:41,2,BNK FEARX,Nongshim RedForce,
LOLTMNT01_230375,2025-04-24 08:06:14,1,Gen.G,DN SOOPers,
LOLTMNT01_229915,2025-04-24 09:03:42,2,DN SOOPers,Gen.G,
LOLTMNT01_229932,2025-04-24 10:18:06,1,Hanwha Life Esports,HANJIN BRION,
LOLTMNT01_230468,2025-04-24 11:12:58,2,HANJIN BRION,Hanwha Life Esports,
LOLTMNT01_231505,2025-04-25 08:06:28,1,KT Rolster,Nongshim RedForce,
LOLTMNT01_232089,2025-04-25 09:00:02,2,KT Rolster,Nongshim RedForce,
LOLTMNT01_232113,2025-04-25 10:18:33,1,T1,Dplus Kia,
LOLTMNT01_231666,2025-04-25 11:16:32,2,Dplus Kia,T1,
LOLTMNT01_231710,2025-04-25 12:04:59,3,T1,Dplus Kia,
LOLTMNT01_232663,2025-04-26 06:07:29,1,DN SOOPers,BNK FEARX,
LOLTMNT01_233515,2025-04-26 07:09:50,2,BNK FEARX,DN SOOPers,
LOLTMNT01_233535,2025-04-26 07:59:46,3,DN SOOPers,BNK FEARX,
LOLTMNT01_233579,2025-04-26 09:17:00,1,DRX,Gen.G,
LOLTMNT01_232817,2025-04-26 10:06:26,2,DRX,Gen.G,
LOLTMNT01_234523,2025-04-27 06:05:50,1,HANJIN BRION,T1,
LOLTMNT01_234559,2025-04-27 07:05:30,2,T1,HANJIN BRION,
LOLTMNT01_234587,2025-04-27 07:50:45,3,HANJIN BRION,T1,
LOLTMNT01_235231,2025-04-27 09:10:52,1,Dplus Kia,Hanwha Life Esports,
LOLTMNT01_235270,2025-04-27 10:09:36,2,Hanwha Life Esports,Dplus Kia,
LOLTMNT01_235289,2025-04-27 11:06:05,3,Dplus Kia,Hanwha Life Esports,
LOLTMNT01_237491,2025-04-30 08:06:00,1,Nongshim RedForce,Dplus Kia,
LOLTMNT01_237499,2025-04-30 09:05:59,2,Nongshim RedForce,Dplus Kia,
LOLTMNT01_238025,2025-04-30 10:01:26,3,Dplus Kia,Nongshim RedForce,
LOLTMNT01_237541,2025-04-30 11:18:31,1,BNK FEARX,Hanwha Life Esports,
LOLTMNT01_238088,2025-04-30 12:15:07,2,BNK FEARX,Hanwha Life Esports,
LOLTMNT01_238405,2025-05-01 08:05:45,1,Gen.G,KT Rolster,
LOLTMNT01_237861,2025-05-01 08:56:50,2,KT Rolster,Gen.G,
LOLTMNT01_238430,2025-05-01 10:16:03,1,HANJIN BRION,DRX,
LOLTMNT01_237894,2025-05-01 11:04:25,2,HANJIN BRION,DRX,
LOLTMNT01_237909,2025-05-01 11:55:26,3,DRX,HANJIN BRION,
LOLTMNT01_238751,2025-05-02 08:05:32,1,T1,DN SOOPers,
LOLTMNT01_238758,2025-05-02 08:59:08,2,DN SOOPers,T1,
LOLTMNT01_239267,2025-05-02 10:12:25,1,Hanwha Life Esports,Nongshim RedForce,
LOLTMNT01_239278,2025-05-02 11:01:02,2,Nongshim RedForce,Hanwha Life Esports,
LOLTMNT01_239481,2025-05-03 06:07:27,1,Gen.G,Dplus Kia,
LOLTMNT01_239496,2025-05-03 07:14:56,2,Gen.G,Dplus Kia,
LOLTMNT01_239535,2025-05-03 08:29:23,1,DRX,BNK FEARX,
LOLTMNT01_240045,2025-05-03 09:27:45,2,BNK FEARX,DRX,
LOLTMNT01_240296,2025-05-04 06:06:00,1,KT Rolster,T1,
LOLTMNT01_240300,2025-05-04 06:59:50,2,KT Rolster,T1,
LOLTMNT01_239787,2025-05-04 08:20:59,1,DN SOOPers,HANJIN BRION,
LOLTMNT01_240332,2025-05-04 09:15:31,2,DN SOOPers,HANJIN BRION,
LOLTMNT01_240336,2025-05-04 10:11:37,3,HANJIN BRION,DN SOOPers,
LOLTMNT02_257604,2025-05-07 08:03:23,1,BNK FEARX,HANJIN BRION,
LOLTMNT02_258642,2025-05-07 08:53:24,2,HANJIN BRION,BNK FEARX,
LOLTMNT02_258663,2025-05-07 09:44:51,3,BNK FEARX,HANJIN BRION,
LOLTMNT02_258702,2025-05-07 11:02:40,1,Dplus Kia,KT Rolster,
LOLTMNT02_258765,2025-05-07 12:07:43,2,Dplus Kia,KT Rolster,
LOLTMNT02_260233,2025-05-08 08:06:11,1,T1,DRX,
LOLTMNT02_259265,2025-05-08 09:02:20,2,DRX,T1,
LOLTMNT02_260299,2025-05-08 10:16:11,1,Nongshim RedForce,Gen.G,
LOLTMNT02_259331,2025-05-08 11:06:28,2,Nongshim RedForce,Gen.G,
LOLTMNT02_259995,2025-05-09 08:06:29,1,DN SOOPers,KT Rolster,
LOLTMNT02_261033,2025-05-09 08:56:03,2,DN SOOPers,KT Rolster,
LOLTMNT02_260974,2025-05-09 10:06:12,1,HANJIN BRION,Hanwha Life Esports,
LOLTMNT02_260988,2025-05-09 10:58:34,2,HANJIN BRION,Hanwha Life Esports,
LOLTMNT02_262700,2025-05-10 06:05:23,1,Dplus Kia,T1,
LOLTMNT02_261703,2025-05-10 06:57:01,2,Dplus Kia,T1,
LOLTMNT02_262780,2025-05-10 08:12:35,1,Gen.G,BNK FEARX,
LOLTMNT02_262815,2025-05-10 09:10:05,2,BNK FEARX,Gen.G,
LOLTMNT02_263347,2025-05-11 06:05:43,1,Nongshim RedForce,DN SOOPers,
LOLTMNT02_263369,2025-05-11 07:10:44,2,DN SOOPers,Nongshim RedForce,
LOLTMNT02_263396,2025-05-11 07:59:03,3,Nongshim RedForce,DN SOOPers,
LOLTMNT02_264288,2025-05-11 09:23:56,1,Hanwha Life Esports,DRX,
LOLTMNT02_263459,2025-05-11 10:14:45,2,DRX,Hanwha Life Esports,
LOLTMNT02_265983,2025-05-14 08:04:35,1,BNK FEARX,Nongshim RedForce,
LOLTMNT02_265989,2025-05-14 08:57:26,2,Nongshim RedForce,BNK FEARX,
LOLTMNT02_265995,2025-05-14 09:46:11,3,BNK FEARX,Nongshim RedForce,
LOLTMNT02_266810,2025-05-14 10:57:54,1,DRX,Dplus Kia,
LOLTMNT02_267069,2025-05-14 12:02:24,2,DRX,Dplus Kia,
