gameid,date,game_num,blue,red,url
LOLTMNT05_131992,2025-05-15 16:05:38,1,BK ROG Esports,GameWard,
LOLTMNT05_130971,2025-05-15 16:56:42,2,GameWard,BK ROG Esports,
LOLTMNT05_132011,2025-05-15 17:59:45,3,BK ROG Esports,GameWard,
LOLTMNT05_130987,2025-05-15 19:05:27,1,Vitality.Bee,Solary,
LOLTMNT05_132022,2025-05-15 20:05:41,2,Solary,Vitality.Bee,
LOLTMNT06_121385,2025-05-20 16:07:42,1,Vitality.Bee,Galions,
LOLTMNT06_121391,2025-05-20 16:57:10,2,Galions,Vitality.Bee,
LOLTMNT06_121392,2025-05-20 17:45:13,3,Vitality.Bee,Galions,
LOLTMNT06_120431,2025-05-20 18:35:12,4,Vitality.Bee,Galions,
LOLTMNT06_120443,2025-05-20 19:50:38,5,Vitality.Bee,Galions,
LOLTMNT06_120495,2025-05-21 16:07:30,1,Ici Japon Corp. Esport,BK ROG Esports,
LOLTMNT06_121456,2025-05-21 16:56:26,2,BK ROG Esports,Ici Japon Corp. Esport,
LOLTMNT06_120509,2025-05-21 17:56:02,3,BK ROG Esports,Ici Japon Corp. Esport,
LOLTMNT06_121513,2025-05-22 16:06:17,1,Gentle Mates,Karmine Corp Blue,
LOLTMNT06_121531,2025-05-22 16:55:35,2,Gentle Mates,Karmine Corp Blue,
LOLTMNT06_120569,2025-05-22 17:51:34,3,Gentle Mates,Karmine Corp Blue,
LOLTMNT06_120594,2025-05-23 16:07:16,1,Vitality.Bee,BK ROG Esports,
LOLTMNT06_121568,2025-05-23 17:03:23,2,BK ROG Esports,Vitality.Bee,
LOLTMNT06_121571,2025-05-23 18:00:55,3,BK ROG Esports,Vitality.Bee,
LOLTMNT06_123019,2025-05-28 16:08:27,1,BK ROG Esports,Gentle Mates,
LOLTMNT06_122022,2025-05-28 17:18:22,2,Gentle Mates,BK ROG Esports,
LOLTMNT06_123030,2025-05-28 18:10:41,3,BK ROG Esports,Gentle Mates,
LOLTMNT06_123032,2025-05-28 19:05:49,4,Gentle Mates,BK ROG Esports,
LOLTMNT06_123059,2025-05-29 16:08:41,1,BK ROG Esports,Karmine Corp Blue,
LOLTMNT06_123066,2025-05-29 16:55:09,2,BK ROG Esports,Karmine Corp Blue,
LOLTMNT06_123071,2025-05-29 17:50:12,3,Karmine Corp Blue,BK ROG Esports,
